"序號",標題,網址,留言者名稱,留言內容,留言時間,贊成論點/其他想法,贊成數量,反對數量
M-1,國高中上課時間改為10:00到16:00，避免慢性睡眠剝奪導致學生憂鬱、自傷自殺風險提升。,/idea/detail/45e4b677-19d5-4b48-b1da-1afe3000a878,欣欣,"不應該移除多元課程,而是減少課綱中的內容(或減少考試範圍)進而減少學科課程,這才能最大的減少學生的壓力。且多元課程的內容往往是為了培養未來所需的能力,較學科課程比起來才是更重要的",2025-09-13 08:01:16,贊成論點,257,62
M-2,國高中上課時間改為10:00到16:00，避免慢性睡眠剝奪導致學生憂鬱、自傷自殺風險提升。,/idea/detail/45e4b677-19d5-4b48-b1da-1afe3000a878,我匿名我怕被噴,"啊怎麼沒有大學生❓🤡
每天做報告做到死還要早八❓
我們不是人喔",2025-09-13 08:39:34,贊成論點,251,54
M-3,國高中上課時間改為10:00到16:00，避免慢性睡眠剝奪導致學生憂鬱、自傷自殺風險提升。,/idea/detail/45e4b677-19d5-4b48-b1da-1afe3000a878,誼,此留言正在等待審核中,2025-09-13 11:04:53,贊成論點,82,258
M-4,國高中上課時間改為10:00到16:00，避免慢性睡眠剝奪導致學生憂鬱、自傷自殺風險提升。,/idea/detail/45e4b677-19d5-4b48-b1da-1afe3000a878,空洞,此留言正在等待審核中,2025-09-13 11:40:58,贊成論點,92,236
M-5,國高中上課時間改為10:00到16:00，避免慢性睡眠剝奪導致學生憂鬱、自傷自殺風險提升。,/idea/detail/45e4b677-19d5-4b48-b1da-1afe3000a878,,此留言正在等待審核中,2025-09-13 13:06:41,贊成論點,153,309
M-6,國高中上課時間改為10:00到16:00，避免慢性睡眠剝奪導致學生憂鬱、自傷自殺風險提升。,/idea/detail/45e4b677-19d5-4b48-b1da-1afe3000a878,嫻,此留言正在等待審核中,2025-09-13 14:15:50,贊成論點,59,216
M-7,國高中上課時間改為10:00到16:00，避免慢性睡眠剝奪導致學生憂鬱、自傷自殺風險提升。,/idea/detail/45e4b677-19d5-4b48-b1da-1afe3000a878,早,此留言正在等待審核中,2025-09-13 14:23:48,贊成論點,368,74
M-8,國高中上課時間改為10:00到16:00，避免慢性睡眠剝奪導致學生憂鬱、自傷自殺風險提升。,/idea/detail/45e4b677-19d5-4b48-b1da-1afe3000a878,噎,使用者已自行刪除留言,2025-09-13 16:27:42,其他想法,0,0
M-9,國高中上課時間改為10:00到16:00，避免慢性睡眠剝奪導致學生憂鬱、自傷自殺風險提升。,/idea/detail/45e4b677-19d5-4b48-b1da-1afe3000a878,石頭,此留言正在等待審核中,2025-09-13 16:51:37,其他想法,1130,110
M-10,國高中上課時間改為10:00到16:00，避免慢性睡眠剝奪導致學生憂鬱、自傷自殺風險提升。,/idea/detail/45e4b677-19d5-4b48-b1da-1afe3000a878,李「均」芸,"結果哎呀
補習班出了個新方案：7:30~9:00補習
還是得乖乖跟平常一樣的時間起床",2025-09-13 17:02:20,贊成論點,210,45
M-11,國高中上課時間改為10:00到16:00，避免慢性睡眠剝奪導致學生憂鬱、自傷自殺風險提升。,/idea/detail/45e4b677-19d5-4b48-b1da-1afe3000a878,小蘿蔔頭,此留言正在等待審核中,2025-09-13 17:31:44,贊成論點,52,182
M-12,國高中上課時間改為10:00到16:00，避免慢性睡眠剝奪導致學生憂鬱、自傷自殺風險提升。,/idea/detail/45e4b677-19d5-4b48-b1da-1afe3000a878,無名的國中生,我覺得6點有點太晚了有些同學家裡可能住比較遠回到家可能就8點甚至是9點那他們的吃飯時間呢還有這樣子可能還有人要上補習班那這樣子不是也不太好,2025-09-13 17:42:21,其他想法,255,37
M-13,國高中上課時間改為10:00到16:00，避免慢性睡眠剝奪導致學生憂鬱、自傷自殺風險提升。,/idea/detail/45e4b677-19d5-4b48-b1da-1afe3000a878,樂,台灣的教育制度就是升學導向，要升學最重要的就是讀書，就是國英數自社，要學美國教育制度多元學習那請先改變生學管道，讓學生能利用那些學校學到的東西就能升學，而不是用學習歷程，還要去參加營隊、考證照、遊學什麼的根本是有錢人才能做好。所以可以先把廢課刪掉了，其實有些老師也知道他們這些課沒什麼用，也都隨便教，根本是浪費時間，還不如全部都上主科然後縮短上學時間，讓學生有更多時間睡覺成長。,2025-09-13 18:52:40,其他想法,646,33
