序號,標題,網址,留言者名稱,留言內容,留言時間,贊成論點/其他想法,贊成數量,反對數量
M-1,國高中上課時間改為10:00到16:00，避免慢性睡眠剝奪導致學生憂鬱、自傷自殺風險提升。,/idea/detail/45e4b677-19d5-4b48-b1da-1afe3000a878,欣欣,"不應該移除多元課程,而是減少課綱中的內容(或減少考試範圍)進而減少學科課程,這才能最大的減少學生的壓力。且多元課程的內容往往是為了培養未來所需的能力,較學科課程比起來才是更重要的",2025-09-13 08:01:16,贊成論點,257,62
M-13,國高中上課時間改為10:00到16:00，避免慢性睡眠剝奪導致學生憂鬱、自傷自殺風險提升。,/idea/detail/45e4b677-19d5-4b48-b1da-1afe3000a878,樂,台灣的教育制度就是升學導向，要升學最重要的就是讀書，就是國英數自社，要學美國教育制度多元學習那請先改變生學管道，讓學生能利用那些學校學到的東西就能升學，而不是用學習歷程，還要去參加營隊、考證照、遊學什麼的根本是有錢人才能做好。所以可以先把廢課刪掉了，其實有些老師也知道他們這些課沒什麼用，也都隨便教，根本是浪費時間，還不如全部都上主科然後縮短上學時間，讓學生有更多時間睡覺成長。,2025-09-13 18:52:40,其他想法,646,33
M-19,國高中上課時間改為10:00到16:00，避免慢性睡眠剝奪導致學生憂鬱、自傷自殺風險提升。,/idea/detail/45e4b677-19d5-4b48-b1da-1afe3000a878,小芸,"反對有以下幾點，僅為個人想法不代表任何立場。
第一，文章中之論點有無實驗結果或專家分析等證據證明？論據不足的情況下很難有說服力。
第二，延後上課時間對於睡眠品質、學習效率及學生精神層面上並無直接影響，晚上課並不代表學生會早睡。
第三，多元學習的部分我認為還是需要存在，現在台灣的教育幾乎已經是訓練學生成為「考試機器」，倘若無其餘課程輔助，學生課業壓力只增不減。所謂要學生多方探索自我，卻還是將課業壓力一再壓在學生身上，這是自相矛盾。即使要改也應該是調整、刪減課綱之內容，國小至高中學的應是基礎知識與生活應用，過度的深入探討，甚至在考場上刻意刁難學生，只會更加偏離所謂國民教育。",2025-09-13 21:25:21,贊成論點,115,137
M-21,國高中上課時間改為10:00到16:00，避免慢性睡眠剝奪導致學生憂鬱、自傷自殺風險提升。,/idea/detail/45e4b677-19d5-4b48-b1da-1afe3000a878,芮,整個制度都要大改，學科課程有很多沒有屁用、內容還多，浪費時間，應該再減少。多元學習當然比較好，現在的情況是學科的比重還是很大，導致多元學習成為負擔,2025-09-13 22:13:07,贊成論點,35,5
M-37,國高中上課時間改為10:00到16:00，避免慢性睡眠剝奪導致學生憂鬱、自傷自殺風險提升。,/idea/detail/45e4b677-19d5-4b48-b1da-1afe3000a878,9ay,"我本身是一位高中生，我認為這個提案的出發點是好的，但是如果要實行會有很大的困難。

首先如果一週要移除十節多元課程，先不說有沒有十節的「非必要」多元課程，依照台灣的風氣，可能會出現早上補習的現象。如果沒有補習，那學生們真的能好好利用這段時間嗎？你相信大部分的國高中生會利用自由時間去「自主學習」？而且有些事物如果沒有學校這個媒介，學生一輩子都不會接觸到，也不會有嘗試的機會。

如果真的想改變台灣的教育，我認為至少要先確實做到已有的政策，像是早自習和第八節不能考試。但有幾所學校能夠確實落實呢？其實問題還是出在課綱和台灣的風氣，課綱就是這麼多，有多少課可以刪，沒有了多元課程，學生們一整天都要面對高壓的課程。另外還有台灣的教育風氣，幾乎人人都補習，補到九點十點才回家，當然會睡不夠。如果課綱還是這麼多，多數家長的觀念還是不改，那應該什麼東西都很難改。",2025-09-14 00:08:17,贊成論點,0,1
M-43,國高中上課時間改為10:00到16:00，避免慢性睡眠剝奪導致學生憂鬱、自傷自殺風險提升。,/idea/detail/45e4b677-19d5-4b48-b1da-1afe3000a878,小嘎,"真的不要耶，這樣一週就要減少10個科目，那怎麼解決呢？答案就是文中寫的「減少非必要多元課程」，但10節課耶，到時候全部都給你剪掉，到時候就有得哭了。
我的覺得是8:30上課，然後將多元課程換成「自行選科」模式，然後可能沒人至少要選幾科之類的，既能保障上課時長，又不必選一些自己不喜歡的科目。",2025-09-14 00:49:01,贊成論點,1,2
M-50,國高中上課時間改為10:00到16:00，避免慢性睡眠剝奪導致學生憂鬱、自傷自殺風險提升。,/idea/detail/45e4b677-19d5-4b48-b1da-1afe3000a878,Larry,"多元課程其實還蠻不錯的 
第一如果是高中高職 學分穩穩拿比一般科目好
第二可以多學學不同的領域
第三沒有多元課程只是讓國英數更多而已 你想嗎？
還有通勤問題 很以偏概全 
上課上六小時 中間午休一小時 五小時能上什麼 這樣體育那些是不是也要全面廢掉 全部留國英數",2025-09-14 01:22:05,其他想法,22,20
M-51,國高中上課時間改為10:00到16:00，避免慢性睡眠剝奪導致學生憂鬱、自傷自殺風險提升。,/idea/detail/45e4b677-19d5-4b48-b1da-1afe3000a878,Eian,"更動上課時間，是影響整個教育體系的行為，這提案本人不支持。

上課期間只有短短6小時，依據現在108課綱，考科的課程已經非常吃緊了，學校連早自習、第8節，甚至連多元學習課程，這些額外的時間，有時都需要拿來上考科的。按照提議者想法，這是幾乎不可能仔細教完會考、學測範圍的。

會考、學測都是需要大量的有效學習、複習，你連考科都沒學好，甚至還沒有教過，怎麼可能上理想學校，這不就擺明要讓學生去補習班嗎。

修改後，補習班為了彌補學校的不足，及加強對課本的印象，種種加起來，學校6小時加上補習班時數，肯定跟修改前差不多，這會導致學生的睡眠時間不但沒有改善，反而作息更不規律。
舉例：「從原本國小持續6年的9：30睡，7：30起；改變成11：30睡，9：30起。」只是延後上床睡覺，睡眠時間根本沒有增加。

你要修改上課時間，就應該有其他配套措施，且考慮當前的教育情況，而非單純提出修改上課時間，這提案漏洞百出，需要改進。",2025-09-14 01:34:45,贊成論點,18,10
M-53,國高中上課時間改為10:00到16:00，避免慢性睡眠剝奪導致學生憂鬱、自傷自殺風險提升。,/idea/detail/45e4b677-19d5-4b48-b1da-1afe3000a878,kopq,"我是高中生，我認為就現階段而言，此提案過於空泛以及忽略了真正的問題。

以一般未補習的高等中學學生舉例，第一堂課開始是早上8點10分（假設8點時到校），放學時間是下午4點，若是通勤時間共兩小時以及早上梳妝早餐時間三十分鐘，那麼每天從起床與放學回家的時間點可以簡略估算為早上6點30分與下午5點，若是要維持十小時睡眠則需要在下午8點30分入睡，共三小時可以吃晚餐、處理作業、預複習、洗澡、娛樂等等。

事實上如果說今天學生不用在課業上花那麼多心力，絕對是有辦法在三小時內處理完問題的。

所以問題其實是學生所面臨的升學壓力，這才是問題的主要因素，就算強制調動了課表時間，實務上治標不治本。

並且想請問何謂「非必要多元課程」，事實上，多元課程雖為分考科，但不能因此否定其重要性。",2025-09-14 01:40:43,贊成論點,12,5
M-104,國高中上課時間改為10:00到16:00，避免慢性睡眠剝奪導致學生憂鬱、自傷自殺風險提升。,/idea/detail/45e4b677-19d5-4b48-b1da-1afe3000a878,,多元課程就是在類似模仿美式教育了，有很多你們所謂的不必要的課程都是別人爭取來的，晚上課有甚麼用，熬夜的只會覺得（喔我可以更晚睡了欸）我是大學生，每天為了作業基本上8.起床，然後就沒有闔過眼睛，不是在上課就是在做作業，但是我可以想辦法12.睡，這樣每天都可以睡夠8小時，國中的時候也就只是變成10.睡6.起床（有補習）還不是能夠睡滿8小時，睡不飽是你們能力的問題，用補習為藉口，如果你學校教的夠多且你都有學好，你大可以想辦法說服爸媽不讓你補習。課綱越改越簡單，重要的東西刪一大堆還不能夠滿足現在的國高中生嗎？？？,2025-09-14 09:15:16,贊成論點,1,2
