詞彙,出現次數
時間,605
學生,595
課程,474
多元,465
學習,339
可以,210
學校,206
睡眠,178
教育,174
不是,171
真的,149
補習,142
課時間,138
壓力,136
發展,113
問題,110
上課,110
這些,109
需要,109
就是,103
根本,101
認為,101
台灣,96
老師,96
興趣,95
高中生,94
可能,94
很多,92
考試,89
還要,82
每天,80
讀書,78
高中,78
甚至,77
早上,77
小時,74
必要,74
而且,71
上學,70
效率,70
減少,67
增加,67
制度,66
還是,66
探索,65
調整,64
睡眠不足,64
能力,63
影響,63
提升,63
培養,62
這個,62
休息,62
健康,62
社會,62
內容,61
課業,60
真正,60
家長,60
安排,58
希望,57
課綱,56
現在,56
應該,56
反而,55
改善,54
選修,54
造成,54
不會,53
我覺,53
一些,52
作息,52
只是,51
通勤,51
起床,51
有些,49
睡覺,49
導致,48
支持,48
孩子,48
升學,47
主科,47
自主,47
其實,46
放學,45
作業,45
提案,44
精神,43
不僅,43
重要,42
品質,42
下午,42
無法,42
青少年,42
已經,41
覺得,41
晚上,40
回家,40
還有,39
不要,39
社團,39
只會,38
科目,38
東西,37
不如,37
生活,37
方式,37
憂鬱,37
改變,36
時數,36
活動,36
那些,35
第八,35
其他,35
那麼,35
bull,35
而是,34
教育部,34
改成,34
不足,33
知識,33
到校,33
充足,33
身心,33
縮短,33
未來,32
歷程,32
刪掉,32
負擔,32
不能,32
教學,32
環境,32
幫助,32
實際,32
知道,31
但是,31
時候,31
不必要,31
思考,31
身心健康,31
運動,31
自習,30
雖然,30
大家,30
風險,30
至少,29
全面,29
因此,29
彈性,29
不到,29
自律,29
一樣,29
這種,29
非常,28
有效,28
提出,28
不用,28
分鐘,28
選擇,28
自殺,28
進度,28
上班,28
狀態,28
移除,27
學科,27
情況,27
好好,27
自由,27
降低,27
一定,27
一點,27
現行,27
效果,27
規劃,27
有助,27
自我,26
非必要,26
解決,26
晚睡,26
一天,26
改革,26
點上,26
完全,26
自傷,26
早起,26
一直,26
研究,26
改為,26
amp,26
延後上,25
等等,25
專注力,25
刪除,25
必須,25
回到,25
成績,25
大多,25
利用,24
參加,24
浪費,24
一堆,24
容易,24
開始,24
除非,24
心理健康,24
部分,23
變成,23
建議,23
獲得,23
準備,23
國家,23
想要,23
情緒,23
符合,23
十點,22
熬夜,22
每個,22
是否,22
同時,22
成效,22
配合,22
進行,22
確實,21
而已,21
以及,21
辦法,21
壓縮,21
完成,21
同學,21
生理,21
想法,20
政策,20
就算,20
例如,20
普遍,20
許多,20
家庭,20
避免,20
音樂,20
上午,20
幾乎,19
大部分,19
這麼,19
課堂,19
或是,19
習慣,19
喜歡,19
本來,19
課時,19
需求,19
自然,19
美術,19
美國,18
所謂,18
機會,18
不夠,18
交通,18
原因,18
不過,18
嚴重,18
事情,18
慢性,18
提議,18
下降,18
功課,18
核心,18
直接,17
基礎,17
很大,17
像是,17
能夠,17
就要,17
自行,17
保障,17
不同,17
體育,17
並且,17
國中,17
在校,17
同意,17
目前,17
完整,17
常常,17
除了,17
相關,17
晚點,17
沒什麼,16
全部,16
第一,16
刪減,16
午休,16
而言,16
集中,16
廢除,16
有人,16
大學,16
焦慮,16
專心,16
小孩,16
更好,16
有效率,16
專注,16
政府,16
若能,16
機器,15
過度,15
首先,15
已有,15
另外,15
本人,15
加上,15
單純,15
主要,15
基本,15
剝奪,15
方法,15
正課,15
並非,15
所有,15
時段,15
方案,15
社交,15
要求,15
足夠,15
方面,15
體制,15
狀況,15
此外,15
時鐘,15
不應,14
國英數,14
人才,14
成長,14
當然,14
相信,14
學分,14
兩小時,14
畢竟,14
不想,14
取消,14
附議,14
只要,14
參與,14
重點,14
大人,14
下課,14
吸收,14
大幅,14
循環,14
人興趣,14
多元化,14
才能,13
升學導,13
結果,13
只有,13
學測,13
原本,13
將上,13
藝術,13
假日,13
某些,13
心理,13
以上,13
身體,13
推動,13
擁有,13
個小時,13
不然,13
八點,13
缺乏,13
管理,13
設計,13
往往,12
存在,12
即使,12
學生們,12
修改,12
洗澡,12
因素,12
何況,12
尤其,12
並沒有,12
文化,12
看到,12
繼續,12
討論,12
目標,12
只能,12
點到,12
現實,12
顯示,12
資源,12
規定,12
重視,12
提高,12
管道,11
更加,11
節課,11
考科,11
差不多,11
早餐,11
處理,11
不好,11
犧牲,11
目的,11
或許,11
競爭力,11
難以,11
四點,11
世界,11
多餘,11
理由,11
藝能科,11
其次,11
以前,11
減輕,11
上下班,11
接送,11
疲憊,11
方向,11
專業,11
合理,11
有限,11
自社,10
學到,10
整個,10
本身,10
風氣,10
出現,10
補到,10
九點,10
模式,10
之類,10
娛樂,10
絕對,10
面臨,10
強制,10
基本上,10
科技,10
一下,10
國際,10
成功,10
得到,10
隔天,10
正常,10
地方,10
如何,10
贊成,10
獨立,10
運用,10
然而,10
點上學,10
有意,10
工作,10
惡性,10
遲到,10
找到,10
身為,10
健身,10
不管,10
指出,10
保留,10
在家,10
階段,10
技能,10
更是,10
人生,10
這對,10
認真,10
對學生,10
如此,10
點放學,10
心情,10
空間,10
表現,10
有用,10
將國,10
下一代,10
早晨,10
範圍,9
成為,9
一整天,9
觀念,9
時長,9
不必,9
課本,9
義的,9
畢業,9
尖峰,9
上班族,9
提供,9
養成,9
之間,9
專長,9
努力,9
使用,9
藝能,9
被迫,9
注重,9
平常,9
科學,9
理解,9
高度,9
提早,9
七點,9
之前,9
整體,9
再來,9
教師,9
專注度,9
報告,9
決定,9
公司,9
經驗,9
兼顧,9
清晨,9
比較,9
點至,9
要學,8
做好,8
廢課,8
幾點,8
代表,8
這段,8
一般,8
領域,8
拿來,8
規律,8
考慮,8
維持,8
一大堆,8
一起,8
不少,8
各種,8
必修,8
這項,8
痛苦,8
新加坡,8
教室,8
多數,8
達到,8
形式,8
困擾,8
以外,8
強烈,8
許多學生,8
左右,8
意見,8
明確,8
強調,8
促進,8
過長,8
出門,8
請問,8
上下,8
公車,8
晚起,8
課外,8
或者,8
再者,8
老師們,8
了解,8
讀書學習,8
值得,8
議題,8
點了,8
師資,8
課時長,8
起來,8
一種,8
放在,8
平均,8
半小時,8
太晚,8
變得,8
私立,8
評量,8
國中生,8
過氣,8
應付,8
還能,8
過早,8
八小時,8
任何,7
第二,7
第三,7
這是,7
依照,7
做到,7
高壓,7
六小時,7
一小,7
是不是,7
忽略,7
課表,7
資訊,7
亞洲,7
案例,7
ndash,7
觀點,7
幾個,7
出社會,7
課時數,7
結束,7
午餐,7
建立,7
有興趣,7
最後還,7
考量,7
現今,7
六點,7
實質,7
實施,7
低落,7
從事,7
寫作業,7
點才,7
失去,7
國外,7
差距,7
不變,7
堂上,7
給學生,7
繁重,7
檔案,7
傳統,7
拿掉,7
多出,7
剩下,7
既然,7
改到,7
手機,7
日本,7
通常,7
高三,7
閱讀,7
下來,7
投入,7
注意力,7
青春期,7
精力,7
應以,7
更能,7
生學,6
考證照,6
隨便,6
反對,6
以下,6
早睡,6
的國,6
事物,6
早自習,6
落實,6
課上,6
額外,6
肯定,6
不但,6
改進,6
今天,6
治本,6
甚麼,6
爸媽,6
還給,6
禁止,6
清楚,6
它們,6
配套,6
點多,6
進步,6
參考,6
玩遊戲,6
少數,6
休閒,6
未必,6
可是,6
平日,6
認同,6
還得,6
無關,6
整天,6
辛苦,6
透過,6
延後至,6
完善,6
輔導,6
心靈,6
適合,6
不論,6
朋友,6
前提,6
最好,6
分配,6
至於,6
沒時間,6
普通,6
成果,6
大概,6
白天,6
時常,6
大腦,6
五點,6
有點,6
最晚,6
整理,6
表面,6
不再,6
中生,6
關鍵,6
調查,6
包括,6
照樣,6
就會,6
做法,6
願意,6
一名,6
創造力,6
更多,6
必要性,6
考前,6
全世界,6
越來,6
一邊,6
歐美,6
電腦,6
